"ZCTA","Positive_tests","Total_tests","Negative_tests","HIV","Population","Overdoses","Occupation","Black","Hispanic","Male_partner_household","Income","Age","census_ADI"
"19102",66,977,911,217,4937,"7-24",0.200528576148001,4.5,5.2,1,90750,31.8,-1.31364884789653
"19103",256,3850,3594,95,24219,"1-6",0.238639331418125,6.2,5.7,0.8,73611,35.9,-1.12610942817488
"19104",763,7100,6337,155,54311,"7-24",0.39231582657737,42.3,5.1,0.2,25865,22.8,1.77839896758754
"19106",99,1987,1888,134,12375,"1-6",0.224172317510969,8.5,6.4,0.5,109393,37.6,-1.27298952530679
"19107",267,3016,2749,431,13696,"7-24",0.359956500724988,8.2,5.1,1.2,53534,30.7,-0.120477575829876
"19109",0,7,7,,0,,,,,,,,-1.23929773744252
"19111",1300,7448,6148,86,68263,"7-24",0.553307835761924,24,19.7,0,48186,35.5,0.637610291526799
"19112",,,,,0,,,,,,,,-1.23929773744252
"19113",0,21,21,,93,,0.178571428571429,0,0,0,39891,37.3,-1.19114353883171
"19114",545,3010,2465,86,31736,"7-24",0.504493276484093,10.3,9,0.3,56781,40.9,-0.18890034023725
"19115",874,4375,3501,28,34479,"7-24",0.547282785551578,9.9,7.5,0,52635,43.3,0.150901931289684
"19116",713,3240,2527,45,34912,"7-24",0.568538096974116,6,6.3,0,55123,43.6,0.20275557652257
"19118",183,1766,1583,,10919,"0",0.270695970695971,19.2,6.9,0.2,85437,44,-1.18057688788591
"19119",552,5123,4571,130,29391,"1-6",0.305470682380329,58.5,2.9,0.4,61297,43.2,-0.227425607526755
"19120",1502,7920,6418,249,74971,"25-49",0.614899732183683,52.1,30.8,0,37891,30.2,1.80200463893738
"19121",573,4855,4282,332,30733,"25-49",0.582961724266072,77,6.3,0.2,19668,27.2,2.91364790068934
"19122",363,3303,2940,216,22187,"7-24",0.513096722984465,37.9,27.7,0.5,35828,26.8,1.89694975684779
"19123",388,3412,3024,439,15681,"7-24",0.268533081681871,30.1,10.4,0.8,73730,32.5,0.271892154227545
"19124",1319,7040,5721,254,68965,"50-99",0.600886917960089,40.2,41.5,0.1,33427,31,2.13638469890707
"19125",297,3896,3599,122,24674,"25-49",0.378602255325073,4.6,13.5,0.6,65218,33,0.117759595976749
"19126",569,3033,2464,195,15863,"7-24",0.520297489928726,83.4,4.8,0,41266,39.3,1.20384312011025
"19127",42,755,713,,6082,"1-6",0.365250618116431,9.4,5.2,0.3,73750,27.8,-0.342857335365284
"19128",402,4443,4041,35,38309,"7-24",0.358305594820118,12.9,4.2,0.1,72563,34.7,-0.69003795408238
"19129",131,1818,1687,92,10640,"1-6",0.314463295817235,35.7,3.6,0.2,63926,34.3,0.0392799710475307
"19130",370,5412,5042,101,27410,"7-24",0.253086071811059,18.6,5.8,0.4,82632,32.9,-0.737318350802601
"19131",1072,7277,6205,239,44972,"7-24",0.473775908681286,81.2,3.2,0.2,34844,34.3,1.39061421037623
"19132",751,5199,4448,397,32196,"25-49",0.587995337995338,92.4,3.2,0.3,20955,37.2,2.57410359892535
"19133",588,3487,2899,327,27419,"50-99",0.675870002876043,38.6,58.7,0,19130,33.3,3.90488400459185
"19134",961,6731,5770,261,61509,"100+",0.578345696575551,18.2,46.2,0.1,28911,30.9,2.79552364208086
"19135",554,3370,2816,170,35302,"25-49",0.625343406593407,25.3,23.4,0,44779,31.9,1.08297593769661
"19136",1078,9176,8098,95,34470,"25-49",0.529257765513338,16.2,14.5,0.1,48576,35.8,0.45063686394477
"19137",81,856,775,,8482,"7-24",0.53536717062635,2.5,8.6,0,54006,37.2,0.366884336845812
"19138",667,4479,3812,213,32399,"7-24",0.575143611240491,92.6,1.7,0,39851,38.5,1.32985859027855
"19139",1025,7918,6893,346,44870,"25-49",0.533212861415753,88.6,2.8,0,28505,33.3,2.23573952611084
"19140",1170,7622,6452,376,51667,"50-99",0.613913369585599,57.1,41.7,0.2,21665,33,2.83007643854426
"19141",656,4268,3612,217,34784,"7-24",0.529769858945806,84.4,4.3,0,31018,33.2,1.74319584207745
"19142",739,3827,3088,385,28144,"7-24",0.57763725785406,84.9,2.6,0,30431,31,2.1716288456758
"19143",1344,11252,9908,291,65247,"25-49",0.471617584293641,79.8,3.6,0.2,33351,33.9,1.61488045362789
"19144",936,6857,5921,259,42556,"7-24",0.424652737247578,76.3,3.9,0.3,33786,36.1,1.4217867778711
"19145",817,7826,7009,161,46623,"25-49",0.495556294852906,31.1,6.3,0.4,42009,37.6,0.866281571631632
"19146",653,7737,7084,260,38873,"25-49",0.37109821306156,42.8,4.6,1,63524,33.9,0.211135000312376
"19147",440,6331,5891,189,39060,"7-24",0.318116915840753,9.1,9.1,0.9,77695,34.9,-0.535335156828244
"19148",977,8080,7103,136,52594,"25-49",0.482757245943468,5.1,14.3,0.4,52584,36.2,0.837037407390795
"19149",987,4909,3922,105,59633,"7-24",0.616090932652079,27.4,22.3,0,45126,32.9,1.14245489250686
"19150",521,3638,3117,115,22492,"1-6",0.430169317598769,94.1,1.4,0,46150,45.4,0.405398678489672
"19151",729,4295,3566,187,33174,"7-24",0.456861413043478,87.9,4.1,0,48369,34.9,0.828443027555244
"19152",752,4139,3387,73,37067,"7-24",0.533612190020914,15.5,12.9,0.2,52696,40.7,0.338770532843725
"19153",252,1594,1342,208,13190,"7-24",0.573010599588673,73.9,7,0,42418,38.2,1.02281469089158
"19154",608,3860,3252,56,34253,"7-24",0.487247296661965,8.5,8.2,0,65082,39.1,-0.335233035509516
